TRACE (ray tracing) @ frequency of    1700.00     Hz
Reg Path(Re)  TimeG(s) %dTimeG/T %dPath/WL    WL(km)    R(Re) Alt(km)    Lat^o   Long^o     L(Re)         F/Fge           F/FgH         n(cm-3)       %H+  %He+   %O+ LHR/kHz   RefrInd VeK^o AzK^o ThK^o ThG^o PhK^o Gen^o Res^o
 0 0.265     0.887E-01  39.2      42.3      10.7      5.81383  30669.  -3.4422   0.5970   5.835             0.47084       864.45361            8.32 100.0   0.0   0.0   0.083  16.5     116.2 193.4 150.9 182.0 180.0 160.3 118.1
 0 0.272     0.910E-01  39.1      42.1      10.7      5.81444  30673.  -3.5098   0.6131   5.836             0.47103       864.80481            8.32 100.0   0.0   0.0   0.083  16.5     116.0 193.4 151.2 181.9 180.0 160.4 118.1
 0 0.279     0.933E-01  39.0      41.9      10.7      5.81502  30677.  -3.5774   0.6292   5.838             0.47121       865.13983            8.31 100.0   0.0   0.0   0.083  16.4     115.8 193.4 151.5 181.8 180.0 160.5 118.1
 0 0.286     0.956E-01  38.9      41.7      10.8      5.81558  30680.  -3.6450   0.6453   5.839             0.47138       865.45642            8.31 100.0   0.0   0.0   0.083  16.4     115.6 193.4 151.9 181.7 180.0 160.5 118.1
 0 0.294     0.979E-01  38.8      41.6      10.8      5.81610  30683.  -3.7124   0.6613   5.841             0.47155       865.75732            8.31 100.0   0.0   0.0   0.083  16.3     115.5 193.4 152.2 181.7 180.0 160.6 118.1
 0 0.301     0.100      38.6      41.4      10.8      5.81660  30687.  -3.7797   0.6774   5.842             0.47170       866.04413            8.31 100.0   0.0   0.0   0.083  16.3     115.3 193.4 152.5 181.6 180.0 160.6 118.1
 0 0.308     0.102      38.5      41.2      10.9      5.81707  30690.  -3.8469   0.6934   5.843             0.47185       866.31409            8.31 100.0   0.0   0.0   0.083  16.2     115.1 193.4 152.8 181.5 180.0 160.7 118.2
 0 0.315     0.105      38.4      41.1      10.9      5.81752  30692.  -3.9142   0.7094   5.845             0.47199       866.56781            8.31 100.0   0.0   0.0   0.083  16.2     114.9 193.4 153.1 181.4 180.0 160.7 118.2
 0 0.322     0.107      38.3      40.9      10.9      5.81793  30695.  -3.9813   0.7254   5.846             0.47212       866.80493            8.31 100.0   0.0   0.0   0.083  16.1     114.7 193.4 153.5 181.3 180.0 160.8 118.2
 0 0.329     0.109      38.2      40.8      11.0      5.81832  30698.  -4.0485   0.7414   5.847             0.47224       867.02594            8.31 100.0   0.0   0.0   0.083  16.1     114.5 193.4 153.8 181.3 180.0 160.8 118.2
