  L (Re)    Alt (km) ID   n(cm-3)      %H+     %He+     %O+
  5.16     0.265E+05  0  56.1      100.      0.00      0.00    
  5.18     0.266E+05  0  55.9      100.      0.00      0.00    
  5.20     0.268E+05  0  55.8      100.      0.00      0.00    
  5.22     0.269E+05  0  55.6      100.      0.00      0.00    
  5.24     0.270E+05  0  55.4      100.      0.00      0.00    
  5.26     0.271E+05  0  55.3      100.      0.00      0.00    
  5.28     0.273E+05  0  55.1      100.      0.00      0.00    
  5.30     0.274E+05  0  55.0      100.      0.00      0.00    
  5.32     0.275E+05  0  54.8      100.      0.00      0.00    
  5.34     0.277E+05  0  54.7      100.      0.00      0.00    
  5.36     0.278E+05  0  54.6      100.      0.00      0.00    
  5.38     0.279E+05  0  54.4      100.      0.00      0.00    
  5.40     0.280E+05  0  54.3      100.      0.00      0.00    
  5.42     0.282E+05  0  54.1      100.      0.00      0.00    
  5.44     0.283E+05  0  54.0      100.      0.00      0.00    
  5.46     0.284E+05  0  53.9      100.      0.00      0.00    
  5.48     0.285E+05  0  53.7      100.      0.00      0.00    
  5.50     0.287E+05  0  53.6      100.      0.00      0.00    
  5.52     0.288E+05  0  53.5      100.      0.00      0.00    
  5.54     0.289E+05  0  53.3      100.      0.00      0.00    
  5.56     0.291E+05  0  53.2      100.      0.00      0.00    
  5.58     0.292E+05  0  53.1      100.      0.00      0.00    
  5.60     0.293E+05  0  52.9      100.      0.00      0.00    
  5.62     0.294E+05  0  52.8      100.      0.00      0.00    
  5.64     0.296E+05  0  52.7      100.      0.00      0.00    
  5.66     0.297E+05  0  52.6      100.      0.00      0.00    
  5.68     0.298E+05  0  52.4      100.      0.00      0.00    
  5.70     0.299E+05  0  52.3      100.      0.00      0.00    
  5.72     0.301E+05  0  52.2      100.      0.00      0.00    
  5.74     0.302E+05  0  52.1      100.      0.00      0.00    
  5.76     0.303E+05  0  51.9      100.      0.00      0.00    
  5.78     0.305E+05  0  51.8      100.      0.00      0.00    
  5.80     0.306E+05  0  51.7      100.      0.00      0.00    
  5.82     0.307E+05  0  51.6      100.      0.00      0.00    
  5.84     0.308E+05  0  51.5      100.      0.00      0.00    
  5.86     0.310E+05  0  51.4      100.      0.00      0.00    
  5.88     0.311E+05  0  51.3      100.      0.00      0.00    
  5.90     0.312E+05  0  51.1      100.      0.00      0.00    
  5.92     0.313E+05  0  51.0      100.      0.00      0.00    
  5.94     0.315E+05  0  50.9      100.      0.00      0.00    
  5.96     0.316E+05  0  50.8      100.      0.00      0.00    
  5.98     0.317E+05  0  50.7      100.      0.00      0.00    
  6.00     0.319E+05  0  50.6      100.      0.00      0.00    
  6.02     0.320E+05  0  50.5      100.      0.00      0.00    
  6.04     0.321E+05  0  50.4      100.      0.00      0.00    
  6.06     0.322E+05  0  50.3      100.      0.00      0.00    
  6.08     0.324E+05  0  50.2      100.      0.00      0.00    
  6.10     0.325E+05  0  50.1      100.      0.00      0.00    
