TRACE (ray tracing) @ frequency of    1700.00     Hz
Reg Path(Re)  TimeG(s) %dTimeG/T %dPath/WL    WL(km)    R(Re) Alt(km)    Lat^o   Long^o     L(Re)         F/Fge           F/FgH         n(cm-3)       %H+  %He+   %O+ LHR/kHz   RefrInd VeK^o AzK^o ThK^o ThG^o PhK^o Gen^o Res^o
 0 0.440     0.146      58.5      89.2      7.64      5.58554  29214.   4.8414  -0.9334   5.626             0.40063       735.56073            8.59 100.0   0.0   0.0   0.098  23.1      54.9  13.4  54.3 -11.4   0.0  36.7  66.4
 0 0.451     0.149      58.9      90.5      7.60      5.57997  29179.   4.9331  -0.9554   5.622             0.39913       732.80054            8.59 100.0   0.0   0.0   0.098  23.2      54.8  13.4  54.5 -11.5   0.0  37.0  66.5
 0 0.462     0.153      59.3      91.9      7.56      5.57432  29143.   5.0256  -0.9776   5.617             0.39761       730.00464            8.60 100.0   0.0   0.0   0.098  23.3      54.7  13.4  54.8 -11.6   0.0  37.3  66.6
 0 0.473     0.156      59.8      93.3      7.51      5.56857  29106.   5.1188  -0.9999   5.613             0.39606       727.17023            8.61 100.0   0.0   0.0   0.099  23.5      54.6  13.4  55.1 -11.7   0.0  37.6  66.7
 0 0.484     0.160      60.2      94.7      7.47      5.56272  29069.   5.2127  -1.0225   5.609             0.39450       724.29657            8.62 100.0   0.0   0.0   0.099  23.6      54.5  13.4  55.4 -11.8   0.0  37.9  66.8
 0 0.495     0.163      60.7      96.2      7.43      5.55677  29031.   5.3074  -1.0452   5.605             0.39291       721.38391            8.62 100.0   0.0   0.0   0.100  23.7      54.4  13.4  55.7 -11.8   0.0  38.2  66.9
 0 0.506     0.167      61.1      97.7      7.38      5.55071  28993.   5.4028  -1.0681   5.600             0.39130       718.43164            8.63 100.0   0.0   0.0   0.100  23.9      54.3  13.4  56.0 -11.9   0.0  38.5  67.0
 0 0.518     0.170      61.6      99.3      7.34      5.54456  28953.   5.4990  -1.0912   5.596             0.38967       715.44019            8.64 100.0   0.0   0.0   0.100  24.0      54.2  13.4  56.2 -12.0   0.0  38.8  67.1
 0 0.529     0.174      62.1      101.      7.30      5.53830  28913.   5.5960  -1.1145   5.591             0.38802       712.40826            8.65 100.0   0.0   0.0   0.101  24.2      54.1  13.4  56.5 -12.1   0.0  39.1  67.2
 0 0.541     0.178      62.6      103.      7.25      5.53193  28873.   5.6938  -1.1380   5.587             0.38635       709.33521            8.66 100.0   0.0   0.0   0.101  24.3      54.0  13.5  56.8 -12.1   0.0  39.4  67.3
 0 0.553     0.181      63.1      104.      7.21      5.52545  28832.   5.7925  -1.1617   5.582             0.38465       706.22223            8.66 100.0   0.0   0.0   0.102  24.5      53.9  13.5  57.1 -12.2   0.0  39.7  67.4
 0 0.564     0.185      63.6      106.      7.16      5.51886  28790.   5.8920  -1.1856   5.578             0.38293       703.06573            8.67 100.0   0.0   0.0   0.102  24.6      53.8  13.5  57.4 -12.3   0.0  40.0  67.5
 0 0.576     0.189      64.2      108.      7.12      5.51215  28747.   5.9924  -1.2098   5.573             0.38119       699.86700            8.68 100.0   0.0   0.0   0.103  24.8      53.7  13.5  57.6 -12.3   0.0  40.3  67.6
 0 0.589     0.193      64.7      110.      7.08      5.50533  28703.   6.0937  -1.2342   5.568             0.37943       696.62445            8.69 100.0   0.0   0.0   0.103  24.9      53.6  13.5  57.9 -12.4   0.0  40.6  67.7
 0 0.601     0.197      65.3      112.      7.03      5.49839  28659.   6.1960  -1.2588   5.563             0.37764       693.33850            8.70 100.0   0.0   0.0   0.104  25.1      53.5  13.5  58.2 -12.4   0.0  41.0  67.8
 0 0.613     0.200      65.8      114.      6.99      5.49132  28614.   6.2992  -1.2837   5.558             0.37582       690.00781            8.71 100.0   0.0   0.0   0.104  25.2      53.4  13.5  58.5 -12.5   0.0  41.3  67.9
 0 0.626     0.204      66.4      116.      6.94      5.48413  28568.   6.4034  -1.3088   5.553             0.37398       686.63086            8.72 100.0   0.0   0.0   0.105  25.4      53.3  13.5  58.8 -12.6   0.0  41.6  68.0
 0 0.638     0.208      67.0      118.      6.90      5.47682  28522.   6.5086  -1.3341   5.548             0.37212       683.20825            8.73 100.0   0.0   0.0   0.105  25.6      53.3  13.5  59.0 -12.6   0.0  41.9  68.2
 0 0.651     0.212      67.6      120.      6.85      5.46937  28474.   6.6149  -1.3598   5.543             0.37023       679.73993            8.74 100.0   0.0   0.0   0.106  25.7      53.2  13.5  59.3 -12.7   0.0  42.2  68.3
